ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
RF.N,Regional Banks,Financials,Regional Banks,-0.043293,0.7797,False,0.4621,99
PM.N,Tobacco,Consumer Staples,Tobacco,-0.040575,0.7882,False,0.1945,99
ZTS.N,Pharmaceuticals,Health Care,Pharmaceuticals,-0.040406,0.7892,False,0.3629,99
ULTA.OQ,Other Specialty Retail,Consumer Discretionary,Other Specialty Retail,-0.040343,0.8727,False,0.3569,99
MSFT.OQ,Systems Software,Information Technology,Systems Software,-0.039718,0.6962,False,0.5356,99
ATO.N,Gas Utilities,Utilities,Gas Utilities,-0.039571,0.6919,False,0.3082,99
VZ.N,Integrated Telecommunication Services,Communication Services,Integrated Telecommunication Services,-0.039463,0.7614,False,0.1997,99
HST.OQ,Hotel & Resort REITs,Real Estate,Hotel & Resort REITs,-0.038667,0.7877,False,0.508,99
KO.N,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,-0.038011,0.7149,False,0.2466,99
ADP.OQ,Human Resource & Employment Services,Industrials,Human Resource & Employment Services,-0.037548,0.769,False,0.4147,99
KR.N,Food Retail,Consumer Staples,Food Retail,-0.037249,0.8138,False,0.1002,99
WM.N,Environmental & Facilities Services,Industrials,Environmental & Facilities Services,-0.036874,0.7535,False,0.3767,99
COF.N,Consumer Finance,Financials,Consumer Finance,-0.034676,0.8384,False,0.516,99
RVTY.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.033625,0.8535,False,0.4009,99
ACN.N,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,-0.032777,0.8095,False,0.5908,99
IQV.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.030156,0.8661,False,0.5011,99
NXPI.OQ,Semiconductors,Information Technology,Semiconductors,-0.029852,0.8725,False,0.5362,99
CHTR.OQ,Cable & Satellite,Communication Services,Cable & Satellite,-0.029417,0.9053,False,0.2878,99
EIX.N,Electric Utilities,Utilities,Electric Utilities,-0.028303,0.843,False,0.1712,99
MCK.N,Health Care Distributors,Health Care,Health Care Distributors,-0.027474,0.8515,False,0.1959,99
DELL.N,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",-0.025963,0.9143,False,0.2242,99
BFb.N,Distillers & Vintners,Consumer Staples,Distillers & Vintners,-0.02359,0.8778,False,0.1929,99
TGT.N,Consumer Staples Merchandise Retail,Consumer Staples,Consumer Staples Merchandise Retail,-0.023257,0.9233,False,0.2731,99
DOC.N,Health Care REITs,Real Estate,Health Care REITs,-0.02305,0.8789,False,0.309,99
BIIB.OQ,Biotechnology,Health Care,Biotechnology,-0.022519,0.9282,False,0.048,99
D.N,Multi-Utilities,Utilities,Multi-Utilities,-0.021904,0.8796,False,0.2263,99
LDOS.N,Research & Consulting Services,Industrials,Research & Consulting Services,-0.020922,0.9013,False,0.2268,99
GDDY.N,Internet Services & Infrastructure,Information Technology,Internet Services & Infrastructure,-0.020399,0.907,False,0.2837,99
BKNG.OQ,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.019671,0.8794,False,0.4855,99
PWR.N,Construction & Engineering,Industrials,Construction & Engineering,-0.017489,0.9011,False,0.3915,99
XOM.N,Integrated Oil & Gas,Energy,Integrated Oil & Gas,-0.017269,0.9363,False,0.3157,99
C.N,Diversified Banks,Financials,Diversified Banks,-0.015976,0.9144,False,0.6117,99
TROW.OQ,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.015918,0.8889,False,0.686,99
J.N,Research & Consulting Services,Industrials,Research & Consulting Services,-0.015913,0.8906,False,0.3776,99
MCHP.OQ,Semiconductors,Information Technology,Semiconductors,-0.015348,0.9314,False,0.3018,99
FAST.OQ,Trading Companies & Distributors,Industrials,Trading Companies & Distributors,-0.015068,0.9396,False,0.176,99
AFL.N,Life & Health Insurance,Financials,Life & Health Insurance,-0.014897,0.912,False,0.2261,99
SLB.N,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,-0.014329,0.9592,False,0.4027,99
TXN.OQ,Semiconductors,Information Technology,Semiconductors,-0.013837,0.9325,False,0.4263,99
INVH.N,Single-Family Residential REITs,Real Estate,Single-Family Residential REITs,-0.012965,0.9158,False,0.4049,99
PNC.N,Diversified Banks,Financials,Diversified Banks,-0.012432,0.9318,False,0.4708,99
CASY.OQ,Food Retail,Consumer Staples,Food Retail,-0.011702,0.9417,False,0.2958,99
MSCI.N,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.010992,0.9446,False,0.4709,99
DPZ.OQ,Restaurants,Consumer Discretionary,Restaurants,-0.010534,0.9518,False,0.2372,99
MCO.N,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.010339,0.9087,False,0.7175,99
INTU.OQ,Application Software,Information Technology,Application Software,-0.010312,0.9506,False,0.397,99
MTD.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.009652,0.9544,False,0.5086,99
SPGI.N,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.007817,0.9467,False,0.5434,99
LUV.N,Passenger Airlines,Industrials,Passenger Airlines,-0.005846,0.9799,False,0.3347,99
HLT.N,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.005401,0.9692,False,0.5235,99
EVRG.OQ,Electric Utilities,Utilities,Electric Utilities,-0.00341,0.9768,False,0.2079,99
UDR.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,-0.002792,0.9838,False,0.328,99
TMO.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.002341,0.9861,False,0.3764,99
DGX.N,Health Care  Services,Health Care,Health Care  Services,-0.001808,0.99,False,0.3976,99
VRSN.OQ,Internet Services & Infrastructure,Information Technology,Internet Services & Infrastructure,-0.000306,0.9985,False,0.312,99
WY.N,Timber REITs,Real Estate,Timber REITs,0.000388,0.9978,False,0.5477,99
ETR.N,Electric Utilities,Utilities,Electric Utilities,0.002912,0.9857,False,0.1255,99
AKAM.OQ,Internet Services & Infrastructure,Information Technology,Internet Services & Infrastructure,0.00332,0.9866,False,0.1954,99
PNW.N,Electric Utilities,Utilities,Electric Utilities,0.004877,0.9693,False,0.1252,99
VRTX.OQ,Biotechnology,Health Care,Biotechnology,0.006156,0.9722,False,0.1196,99
HAL.N,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,0.008745,0.9777,False,0.4396,99
LHX.N,Aerospace & Defense,Industrials,Aerospace & Defense,0.011062,0.9376,False,0.2973,99
TXT.N,Aerospace & Defense,Industrials,Aerospace & Defense,0.012245,0.9393,False,0.5389,99
STE.N,Health Care Equipment,Health Care,Health Care Equipment,0.012779,0.933,False,0.362,99
APD.N,Industrial Gases,Materials,Industrial Gases,0.013659,0.9268,False,0.3098,99
PEG.N,Multi-Utilities,Utilities,Multi-Utilities,0.014695,0.8971,False,0.3285,99
L.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,0.016043,0.8614,False,0.4046,99
MTB.N,Regional Banks,Financials,Regional Banks,0.016151,0.9137,False,0.3064,99
EBAY.OQ,Broadline Retail,Consumer Discretionary,Broadline Retail,0.017013,0.9143,False,0.4904,99
WFC.N,Diversified Banks,Financials,Diversified Banks,0.017641,0.8911,False,0.446,99
OXY.N,Integrated Oil & Gas,Energy,Integrated Oil & Gas,0.01798,0.9558,False,0.2296,99
FITB.OQ,Diversified Banks,Financials,Diversified Banks,0.018311,0.8961,False,0.4277,99
CVX.N,Integrated Oil & Gas,Energy,Integrated Oil & Gas,0.019038,0.9257,False,0.3321,99
JNJ.N,Pharmaceuticals,Health Care,Pharmaceuticals,0.020563,0.8252,False,0.2495,99
AEE.N,Multi-Utilities,Utilities,Multi-Utilities,0.020573,0.8669,False,0.1713,99
CBRE.N,Real Estate Services,Real Estate,Real Estate Services,0.022605,0.8688,False,0.549,99
ROK.N,Electrical Components & Equipment,Industrials,Electrical Components & Equipment,0.02289,0.8827,False,0.5856,99
AOS.N,Building Products,Industrials,Building Products,0.023514,0.8745,False,0.4899,99
PAYX.OQ,Human Resource & Employment Services,Industrials,Human Resource & Employment Services,0.024456,0.8399,False,0.4704,99
ROST.OQ,Apparel Retail,Consumer Discretionary,Apparel Retail,0.024923,0.8496,False,0.3633,99
GEN.OQ,Systems Software,Information Technology,Systems Software,0.025933,0.907,False,0.2936,99
RL.N,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.026422,0.8637,False,0.4686,99
UNP.N,Rail Transportation,Industrials,Rail Transportation,0.027222,0.8231,False,0.5711,99
STT.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,0.027713,0.8303,False,0.629,99
CMS.N,Multi-Utilities,Utilities,Multi-Utilities,0.028005,0.8184,False,0.1191,99
SBAC.OQ,Telecom Tower REITs,Real Estate,Telecom Tower REITs,0.028869,0.877,False,0.1555,99
USB.N,Diversified Banks,Financials,Diversified Banks,0.031961,0.8237,False,0.4298,99
WTW.OQ,Insurance Brokers,Financials,Insurance Brokers,0.032199,0.8099,False,0.3436,99
SNA.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,0.037062,0.7545,False,0.498,99
ABBV.N,Biotechnology,Health Care,Biotechnology,0.037536,0.8013,False,0.1421,99
WST.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,0.037952,0.8229,False,0.3866,99
CSCO.OQ,Communications Equipment,Information Technology,Communications Equipment,0.037986,0.7855,False,0.4022,99
WAB.N,Construction Machinery & Heavy Transportation Equipment,Industrials,Construction Machinery & Heavy Transportation Equipment,0.038708,0.7537,False,0.5752,99
QCOM.OQ,Semiconductors,Information Technology,Semiconductors,0.039462,0.843,False,0.4256,99
PSX.N,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,0.039693,0.8689,False,0.3572,99
GS.N,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,0.040131,0.7302,False,0.6053,99
PPL.N,Electric Utilities,Utilities,Electric Utilities,0.040142,0.7026,False,0.4345,99
LH.N,Health Care  Services,Health Care,Health Care  Services,0.040381,0.763,False,0.4945,99
EXR.N,Self Storage REITs,Real Estate,Self Storage REITs,0.040895,0.8092,False,0.3078,99
MGM.N,Casinos & Gaming,Consumer Discretionary,Casinos & Gaming,0.040978,0.8631,False,0.5044,99
BXP.N,Office REITs,Real Estate,Office REITs,0.042342,0.7645,False,0.3922,99
FFIV.OQ,Communications Equipment,Information Technology,Communications Equipment,0.042706,0.8487,False,0.3543,99
WRB.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,0.043025,0.7877,False,0.1013,99
EOG.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.044572,0.8652,False,0.3477,99
EXE.OQ,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.047466,0.8174,False,0.094,61
EXC.OQ,Electric Utilities,Utilities,Electric Utilities,0.047655,0.6988,False,0.1943,99
IFF.N,Specialty Chemicals,Materials,Specialty Chemicals,0.051971,0.7993,False,0.3316,99
TEL.N,Electronic Manufacturing Services,Information Technology,Electronic Manufacturing Services,0.052141,0.5651,False,0.6726,99
HPQ.N,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",0.054637,0.8002,False,0.4369,99
AMGN.OQ,Biotechnology,Health Care,Biotechnology,0.055063,0.7534,False,0.1832,99
GL.N,Life & Health Insurance,Financials,Life & Health Insurance,0.056056,0.6928,False,0.2859,99
AMT.N,Telecom Tower REITs,Real Estate,Telecom Tower REITs,0.056818,0.7474,False,0.2135,99
BAC.N,Diversified Banks,Financials,Diversified Banks,0.056984,0.5862,False,0.6422,99
DTE.N,Multi-Utilities,Utilities,Multi-Utilities,0.059428,0.5573,False,0.2822,99
JBHT.OQ,Cargo Ground Transportation,Industrials,Cargo Ground Transportation,0.059877,0.6945,False,0.5287,99
MS.N,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,0.060132,0.6497,False,0.6139,99
MET.N,Life & Health Insurance,Financials,Life & Health Insurance,0.061321,0.7353,False,0.3997,99
GILD.OQ,Biotechnology,Health Care,Biotechnology,0.061677,0.7369,False,0.0958,99
CPT.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,0.062595,0.6097,False,0.3872,99
MAA.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,0.063439,0.5876,False,0.3397,99
CVS.N,Health Care  Services,Health Care,Health Care  Services,0.0638,0.7213,False,0.1817,99
T.N,Integrated Telecommunication Services,Communication Services,Integrated Telecommunication Services,0.064261,0.7115,False,0.2548,99
NTAP.OQ,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",0.065022,0.6512,False,0.5251,99
KMI.N,Oil & Gas Storage & Transportation,Energy,Oil & Gas Storage & Transportation,0.065584,0.5364,False,0.3966,99
PFE.N,Pharmaceuticals,Health Care,Pharmaceuticals,0.066447,0.646,False,0.1558,99
TECH.OQ,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,0.068757,0.7684,False,0.1918,99
CFG.N,Regional Banks,Financials,Regional Banks,0.069268,0.721,False,0.4366,99
ELV.N,Managed Health Care,Health Care,Managed Health Care,0.0696,0.6201,False,0.198,99
CME.OQ,Financial Exchanges & Data,Financials,Financial Exchanges & Data,0.069975,0.5818,False,0.216,99
AEP.OQ,Electric Utilities,Utilities,Electric Utilities,0.070162,0.5682,False,0.1515,99
KDP.OQ,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.070458,0.7397,False,0.0368,99
IRM.N,Other Specialized REITs,Real Estate,Other Specialized REITs,0.071232,0.607,False,0.3698,99
PRU.N,Life & Health Insurance,Financials,Life & Health Insurance,0.071324,0.6271,False,0.54,99
WEC.N,Multi-Utilities,Utilities,Multi-Utilities,0.072219,0.5783,False,0.1223,99
TFC.N,Regional Banks,Financials,Regional Banks,0.072237,0.5942,False,0.4044,99
PSA.N,Self Storage REITs,Real Estate,Self Storage REITs,0.076281,0.5905,False,0.2291,99
FANG.OQ,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.076755,0.792,False,0.3801,99
CTSH.OQ,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,0.078557,0.5732,False,0.4346,99
TPR.N,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.079156,0.6606,False,0.378,99
ED.N,Multi-Utilities,Utilities,Multi-Utilities,0.079646,0.4777,False,0.0707,99
BKR.OQ,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,0.080798,0.7119,False,0.3796,99
UPS.N,Air Freight & Logistics,Industrials,Air Freight & Logistics,0.082249,0.6589,False,0.4466,99
MMM.N,Industrial Conglomerates,Industrials,Industrial Conglomerates,0.084948,0.5551,False,0.5102,99
META.OQ,Interactive Media & Services,Communication Services,Interactive Media & Services,0.08503,0.7968,False,0.3239,99
SO.N,Electric Utilities,Utilities,Electric Utilities,0.086888,0.4872,False,0.1567,99
SCHW.N,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,0.087343,0.5379,False,0.3025,99
CSX.OQ,Rail Transportation,Industrials,Rail Transportation,0.08849,0.56,False,0.1872,99
EQR.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,0.089151,0.477,False,0.3974,99
HPE.N,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",0.090841,0.6077,False,0.4683,99
LNT.OQ,Electric Utilities,Utilities,Electric Utilities,0.090977,0.436,False,0.2175,99
AVB.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,0.091058,0.4716,False,0.4513,99
EQIX.OQ,Data Center REITs,Real Estate,Data Center REITs,0.091331,0.4268,False,0.2927,99
TRGP.N,Oil & Gas Storage & Transportation,Energy,Oil & Gas Storage & Transportation,0.092267,0.7381,False,0.3787,99
ADI.OQ,Semiconductors,Information Technology,Semiconductors,0.093231,0.5642,False,0.464,99
WSM.N,Homefurnishing Retail,Consumer Discretionary,Homefurnishing Retail,0.094064,0.7138,False,0.4181,99
SPG.N,Retail REITs,Real Estate,Retail REITs,0.095332,0.5319,False,0.4656,99
EA.OQ,Interactive Home Entertainment,Communication Services,Interactive Home Entertainment,0.098152,0.5153,False,0.318,99
GLW.N,Electronic Components,Information Technology,Electronic Components,0.099962,0.5561,False,0.3715,99
COHR.N,Electronic Components,Information Technology,Electronic Components,0.10012,0.7035,False,0.3414,99
FCX.N,Copper,Materials,Copper,0.100272,0.6552,False,0.4519,99
FSLR.OQ,Semiconductors,Information Technology,Semiconductors,0.106284,0.7911,False,0.2563,99
GD.N,Aerospace & Defense,Industrials,Aerospace & Defense,0.10744,0.3893,False,0.3709,99
CCI.N,Telecom Tower REITs,Real Estate,Telecom Tower REITs,0.108777,0.5105,False,0.2365,99
KIM.N,Retail REITs,Real Estate,Retail REITs,0.109875,0.4445,False,0.4367,99
NI.N,Multi-Utilities,Utilities,Multi-Utilities,0.109928,0.3363,False,0.2321,99
STLD.OQ,Steel,Materials,Steel,0.113216,0.5829,False,0.4051,99
OKE.N,Oil & Gas Storage & Transportation,Energy,Oil & Gas Storage & Transportation,0.114104,0.6183,False,0.3511,99
FRT.N,Retail REITs,Real Estate,Retail REITs,0.116017,0.4006,False,0.4512,99
WYNN.OQ,Casinos & Gaming,Consumer Discretionary,Casinos & Gaming,0.117631,0.6307,False,0.4515,99
CTRA.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.118512,0.6016,False,0.1377,99
PLD.N,Industrial REITs,Real Estate,Industrial REITs,0.121114,0.3524,False,0.4839,99
XEL.OQ,Electric Utilities,Utilities,Electric Utilities,0.121608,0.3327,False,0.1301,99
GE.N,Aerospace & Defense,Industrials,Aerospace & Defense,0.123145,0.7156,False,0.1059,99
NTRS.OQ,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,0.123305,0.3757,False,0.5775,99
BK.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,0.127955,0.2032,False,0.5573,99
LYB.N,Commodity Chemicals,Materials,Commodity Chemicals,0.130617,0.6239,False,0.3389,99
DUK.N,Electric Utilities,Utilities,Electric Utilities,0.131103,0.2503,False,0.1512,99
IBKR.OQ,Investment Banking & Brokerage,Financials,Investment Banking & Brokerage,0.132239,0.7132,False,0.1243,99
LRCX.OQ,Semiconductor Materials & Equipment,Information Technology,Semiconductor Materials & Equipment,0.133832,0.6351,False,0.1467,99
DLR.N,Data Center REITs,Real Estate,Data Center REITs,0.134333,0.2897,False,0.2169,99
ESS.N,Multi-Family Residential REITs,Real Estate,Multi-Family Residential REITs,0.139122,0.2813,False,0.3293,99
NWSA.OQ,Publishing,Communication Services,Publishing,0.139419,0.3235,False,0.5083,99
DD.N,Specialty Chemicals,Materials,Specialty Chemicals,0.141361,0.4987,False,0.2459,99
WAT.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,0.141404,0.4742,False,0.3233,99
MPC.N,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,0.141868,0.6331,False,0.3299,99
GOOGL.OQ,Interactive Media & Services,Communication Services,Interactive Media & Services,0.14744,0.607,False,0.0749,99
COST.OQ,Consumer Staples Merchandise Retail,Consumer Staples,Consumer Staples Merchandise Retail,0.149948,0.1543,False,0.4847,99
APA.OQ,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.150171,0.7711,False,0.4132,99
ADM.N,Agricultural Products & Services,Consumer Staples,Agricultural Products & Services,0.151573,0.404,False,0.2891,99
GOOG.OQ,Interactive Media & Services,Communication Services,Interactive Media & Services,0.154225,0.5907,False,0.0754,99
KEY.N,Diversified Banks,Financials,Diversified Banks,0.155014,0.4116,False,0.4043,99
REGN.OQ,Biotechnology,Health Care,Biotechnology,0.156803,0.4271,False,0.0602,99
MPWR.OQ,Semiconductors,Information Technology,Semiconductors,0.158721,0.4827,False,0.3236,99
AVY.N,Paper & Plastic Packaging Products & Materials,Materials,Paper & Plastic Packaging Products & Materials,0.15976,0.2309,False,0.454,99
SRE.N,Multi-Utilities,Utilities,Multi-Utilities,0.160484,0.1191,False,0.213,99
MOS.N,Fertilizers & Agricultural Chemicals,Materials,Fertilizers & Agricultural Chemicals,0.161143,0.5536,False,0.3197,99
F.N,Automobile Manufacturers,Consumer Discretionary,Automobile Manufacturers,0.163047,0.5047,False,0.4379,99
IBM.N,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,0.163328,0.2891,False,0.3261,99
WELL.N,Health Care REITs,Real Estate,Health Care REITs,0.166375,0.1921,False,0.3487,99
UNH.N,Managed Health Care,Health Care,Managed Health Care,0.169311,0.2322,False,0.1791,99
KLAC.OQ,Semiconductor Materials & Equipment,Information Technology,Semiconductor Materials & Equipment,0.169324,0.335,False,0.4938,99
DOW.N,Commodity Chemicals,Materials,Commodity Chemicals,0.169576,0.5078,False,0.3646,84
FE.N,Electric Utilities,Utilities,Electric Utilities,0.173404,0.1233,False,0.1293,99
CNP.N,Multi-Utilities,Utilities,Multi-Utilities,0.174273,0.0936,False,0.353,99
GM.N,Automobile Manufacturers,Consumer Discretionary,Automobile Manufacturers,0.174318,0.3501,False,0.4629,99
NUE.N,Steel,Materials,Steel,0.174375,0.436,False,0.4415,99
EXPE.OQ,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.178526,0.5527,False,0.3656,99
REG.OQ,Retail REITs,Real Estate,Retail REITs,0.183668,0.1159,False,0.4516,99
TER.OQ,Semiconductor Materials & Equipment,Information Technology,Semiconductor Materials & Equipment,0.184867,0.4403,False,0.3618,99
NWS.OQ,Publishing,Communication Services,Publishing,0.187651,0.1848,False,0.5187,99
BBY.N,Computer & Electronics Retail,Consumer Discretionary,Computer & Electronics Retail,0.190063,0.1527,False,0.5743,99
AIZ.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,0.190296,0.1525,False,0.2485,99
EW.N,Health Care Equipment,Health Care,Health Care Equipment,0.192638,0.4562,False,0.1333,99
PKG.N,Paper & Plastic Packaging Products & Materials,Materials,Paper & Plastic Packaging Products & Materials,0.19287,0.1822,False,0.4403,99
AMAT.OQ,Semiconductor Materials & Equipment,Information Technology,Semiconductor Materials & Equipment,0.1946,0.3403,False,0.4843,99
BG.N,Agricultural Products & Services,Consumer Staples,Agricultural Products & Services,0.197837,0.2609,False,0.2199,99
WMB.N,Oil & Gas Storage & Transportation,Energy,Oil & Gas Storage & Transportation,0.198488,0.1161,False,0.4821,99
CNC.N,Managed Health Care,Health Care,Managed Health Care,0.200169,0.4941,False,0.0775,99
VLO.N,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,0.201594,0.497,False,0.3175,99
NEM.N,Gold,Materials,Gold,0.202388,0.3386,False,0.1036,99
VTR.N,Health Care REITs,Real Estate,Health Care REITs,0.202559,0.1706,False,0.3212,99
HUM.N,Managed Health Care,Health Care,Managed Health Care,0.204133,0.3604,False,0.1318,99
TSN.N,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,0.20802,0.2679,False,0.1957,99
IVZ.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,0.20839,0.2928,False,0.4401,99
FDX.N,Air Freight & Logistics,Industrials,Air Freight & Logistics,0.209654,0.3156,False,0.4602,99
EXPD.N,Air Freight & Logistics,Industrials,Air Freight & Logistics,0.215192,0.0582,False,0.4651,99
AMCR.N,Paper & Plastic Packaging Products & Materials,Materials,Paper & Plastic Packaging Products & Materials,0.223011,0.5113,False,0.173,81
DVN.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.225705,0.4903,False,0.4287,99
LITE.OQ,Communications Equipment,Information Technology,Communications Equipment,0.229216,0.4218,False,0.1647,99
NDAQ.OQ,Financial Exchanges & Data,Financials,Financial Exchanges & Data,0.232549,0.4849,False,0.2371,99
IP.N,Paper & Plastic Packaging Products & Materials,Materials,Paper & Plastic Packaging Products & Materials,0.236445,0.3679,False,0.3969,99
CVNA.N,Automotive Retail,Consumer Discretionary,Automotive Retail,0.23913,0.751,False,0.2683,99
COO.OQ,Health Care Supplies,Health Care,Health Care Supplies,0.2638,0.5525,False,0.057,99
INCY.OQ,Biotechnology,Health Care,Biotechnology,0.273727,0.1009,False,0.2452,99
TSLA.OQ,Automobile Manufacturers,Consumer Discretionary,Automobile Manufacturers,0.27412,0.6202,False,0.1241,99
MU.OQ,Semiconductors,Information Technology,Semiconductors,0.278935,0.3154,False,0.3296,99
ODFL.OQ,Cargo Ground Transportation,Industrials,Cargo Ground Transportation,0.28808,0.4648,False,0.3169,99
CF.N,Fertilizers & Agricultural Chemicals,Materials,Fertilizers & Agricultural Chemicals,0.313683,0.2337,False,0.2007,99
SATS.OQ,Cable & Satellite,Communication Services,Cable & Satellite,0.318546,0.2391,False,0.1201,99
APTV.N,Automotive Parts & Equipment,Consumer Discretionary,Automotive Parts & Equipment,0.322329,0.0986,False,0.573,99
WBD.OQ,Movies & Entertainment,Communication Services,Movies & Entertainment,0.322748,0.3718,False,0.3029,99
CHRW.OQ,Air Freight & Logistics,Industrials,Air Freight & Logistics,0.329517,0.0454,True,0.3482,99
CRWD.OQ,Systems Software,Information Technology,Systems Software,0.349612,0.3244,False,0.1962,81
AVGO.OQ,Semiconductors,Information Technology,Semiconductors,0.349662,0.4271,False,0.1204,99
CIEN.N,Communications Equipment,Information Technology,Communications Equipment,0.352565,0.2774,False,0.1523,99
WMT.OQ,Consumer Staples Merchandise Retail,Consumer Staples,Consumer Staples Merchandise Retail,0.374532,0.2683,False,0.041,99
FOX.OQ,Broadcasting,Communication Services,Broadcasting,0.395554,0.0009,True,0.4268,84
APP.OQ,Application Software,Information Technology,Application Software,0.397013,0.5015,False,0.279,59
INTC.OQ,Semiconductors,Information Technology,Semiconductors,0.418029,0.0867,False,0.2325,99
WDC.OQ,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",0.41959,0.1439,False,0.4032,99
ORLY.OQ,Automotive Retail,Consumer Discretionary,Automotive Retail,0.423679,0.5137,False,0.0597,99
FOXA.OQ,Broadcasting,Communication Services,Broadcasting,0.428798,0.0008,True,0.3967,84
EQT.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.579221,0.0472,True,0.22,99
TPL.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,0.614126,0.298,False,0.1436,99
STX.OQ,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",0.647667,0.0038,True,0.3906,99
PANW.OQ,Systems Software,Information Technology,Systems Software,0.69165,0.239,False,0.2707,99
