Date,SMM-REM-NDM,SMM-REO-DXO,SMM-MIN-GAL,SMM-MIN-GMN,SMM-REM-RCB
2018-01-02,410000,1150.0,960,9250,523500
2018-01-03,410000,1150.0,960,9250,523500
2018-01-04,410000,1155.0,960,9250,523500
2018-01-05,410000,1155.0,990,9250,523500
2018-01-08,410000,1160.0,990,9250,534000
2018-01-09,450000,1180.0,1020,9250,534000
2018-01-10,450000,1180.0,1040,9450,539000
2018-01-11,450000,1180.0,1040,9450,544000
2018-01-12,450000,1180.0,1060,9450,544000
2018-01-15,450000,1180.0,1080,9550,549000
2018-01-16,450000,1180.0,1080,9550,549000
2018-01-17,450000,1180.0,1100,9550,549000
2018-01-18,450000,1180.0,1100,9550,557500
2018-01-19,450000,1180.0,1100,9550,557500
2018-01-22,445000,1180.0,1125,9650,560500
2018-01-23,445000,1180.0,1125,9650,560500
2018-01-24,445000,1180.0,1140,9650,560500
2018-01-25,445000,1180.0,1140,9750,560500
2018-01-26,445000,1180.0,1160,9750,567500
2018-01-29,445000,1180.0,1160,9750,567500
2018-01-30,445000,1180.0,1180,9750,572500
2018-01-31,445000,1180.0,1180,9750,572500
2018-02-01,445000,1180.0,1180,9750,577500
2018-02-02,445000,1180.0,1220,9750,577500
2018-02-05,445000,1180.0,1220,9750,577500
2018-02-06,445000,1180.0,1220,9750,577500
2018-02-07,445000,1180.0,1220,9750,577500
2018-02-08,445000,1180.0,1220,9750,577500
2018-02-09,445000,1180.0,1220,9750,577500
2018-02-12,445000,1180.0,1220,9750,577500
2018-02-13,445000,1180.0,1220,9750,577500
2018-02-14,445000,1180.0,1220,9750,577500
2018-02-22,445000,1180.0,1220,9750,577500
2018-02-23,445000,1180.0,1220,9750,577500
2018-02-26,445000,1180.0,1220,9750,592500
2018-02-27,445000,1180.0,1270,10100,592500
2018-02-28,450000,1195.0,1320,10100,592500
2018-03-01,450000,1200.0,1320,10200,601500
2018-03-02,450000,1200.0,1320,10200,601500
2018-03-05,450000,1200.0,1370,10200,601500
2018-03-06,470000,1210.0,1370,10200,601500
2018-03-07,470000,1210.0,1370,10200,601500
2018-03-08,470000,1210.0,1400,10200,606500
2018-03-09,470000,1230.0,1400,10200,606500
2018-03-12,470000,1230.0,1430,10350,606500
2018-03-13,467500,1220.0,1430,10350,613000
2018-03-14,467500,1220.0,1430,10350,613000
2018-03-15,457500,1215.0,1430,10350,630000
2018-03-16,457500,1215.0,1430,10350,630000
2018-03-19,455000,1215.0,1430,10350,632500
2018-03-20,450000,1195.0,1430,10350,632500
2018-03-21,450000,1195.0,1430,10350,650000
2018-03-22,450000,1195.0,1430,10350,650000
2018-03-23,450000,1195.0,1430,10350,660000
2018-03-26,450000,1195.0,1430,10350,660000
2018-03-27,450000,1195.0,1430,10350,660000
2018-03-28,450000,1195.0,1430,10350,660000
2018-03-29,450000,1195.0,1430,10350,660000
2018-03-30,447500,1195.0,1430,10350,665000
2018-04-02,447500,1195.0,1430,10350,665000
2018-04-03,447500,1190.0,1420,10350,665000
2018-04-04,447500,1190.0,1420,10350,665000
2018-04-09,442500,1182.5,1400,10350,671000
2018-04-10,442500,1182.5,1375,10350,671000
2018-04-11,442500,1182.5,1375,10350,671000
2018-04-12,442500,1182.5,1325,10350,674000
2018-04-13,442500,1170.0,1325,10350,674000
2018-04-16,437500,1170.0,1325,10350,674000
2018-04-17,437500,1170.0,1325,10350,669000
2018-04-18,437500,1170.0,1325,10350,669000
2018-04-19,435000,1165.0,1325,10350,669000
2018-04-20,435000,1165.0,1325,10350,669000
2018-04-23,435000,1165.0,1325,10350,662500
2018-04-24,425000,1155.0,1325,10450,662500
2018-04-25,425000,1155.0,1325,10450,662500
2018-04-26,425000,1155.0,1325,10450,662500
2018-04-27,425000,1155.0,1325,10450,662500
2018-05-02,425000,1155.0,1325,10450,662500
2018-05-03,425000,1155.0,1325,10450,652500
2018-05-04,425000,1155.0,1325,10450,632500
2018-05-07,422500,1155.0,1325,10450,632500
2018-05-08,422500,1155.0,1325,10250,632500
2018-05-09,422500,1155.0,1325,10250,625000
2018-05-10,422500,1155.0,1325,10250,625000
2018-05-11,412500,1155.0,1325,10250,625000
2018-05-14,412500,1155.0,1325,10250,625000
2018-05-15,412500,1155.0,1325,10250,625000
2018-05-16,412500,1155.0,1325,10250,625000
2018-05-17,412500,1155.0,1325,10250,619000
2018-05-18,412500,1155.0,1325,10250,619000
2018-05-21,412500,1155.0,1325,10150,616500
2018-05-22,412500,1155.0,1325,10150,616500
2018-05-23,412500,1155.0,1325,10150,612500
2018-05-24,412500,1155.0,1325,10150,612500
2018-05-25,412500,1155.0,1325,10150,612500
2018-05-28,412500,1155.0,1325,9950,612500
2018-05-29,412500,1155.0,1325,9950,612500
2018-05-30,412500,1155.0,1325,9950,612500
2018-05-31,412500,1155.0,1325,9950,602500
2018-06-01,412500,1155.0,1325,9850,602500
2018-06-04,412500,1155.0,1325,9850,595000
2018-06-05,412500,1155.0,1325,9850,595000
2018-06-06,412500,1155.0,1305,9850,590000
2018-06-07,412500,1155.0,1305,9850,590000
2018-06-08,412500,1155.0,1305,9850,590000
2018-06-11,412500,1165.0,1305,9850,590000
2018-06-12,412500,1165.0,1305,9700,585000
2018-06-13,422500,1172.5,1295,9700,585000
2018-06-14,422500,1172.5,1295,9700,575000
2018-06-15,422500,1175.0,1295,9700,575000
2018-06-19,422500,1175.0,1295,9700,567500
2018-06-20,422500,1175.0,1285,9700,560000
2018-06-21,422500,1175.0,1275,9700,560000
2018-06-22,422500,1175.0,1275,9700,560000
2018-06-25,422500,1170.0,1275,9700,560000
2018-06-26,422500,1170.0,1275,9700,555000
2018-06-27,,,1275,9700,555000
2018-06-28,420000,1162.5,1275,9700,551500
2018-06-29,420000,1162.5,1245,9700,551500
2018-07-02,415000,1157.5,1245,9700,547500
2018-07-03,415000,1157.5,1245,9700,547500
2018-07-04,415000,1157.5,1225,9700,540500
2018-07-05,415000,1157.5,1225,9700,540500
2018-07-06,415000,1157.5,1225,9400,540500
2018-07-09,415000,1155.0,1225,9400,535500
2018-07-10,415000,1155.0,1205,9400,535500
2018-07-11,415000,1155.0,1205,9400,532500
2018-07-12,415000,1155.0,1205,9400,532500
2018-07-13,415000,1155.0,1205,9300,532500
2018-07-16,415000,1155.0,1205,9300,532500
2018-07-17,412500,1155.0,1205,9300,527500
2018-07-18,412500,1155.0,1205,9300,527500
2018-07-19,412500,1155.0,1205,9300,524000
2018-07-20,412500,1155.0,1205,9300,524000
2018-07-23,412500,1155.0,1205,9300,524000
2018-07-24,412500,1155.0,1205,9300,524000
2018-07-25,412500,1155.0,1205,9300,524000
2018-07-26,412500,1155.0,1205,9200,517500
2018-07-27,412500,1155.0,1205,9200,512500
2018-07-30,412500,1155.0,1205,9200,507500
2018-07-31,410000,1150.0,1190,9200,501500
2018-08-01,410000,1150.0,1190,9200,501500
2018-08-02,407500,1145.0,1190,9200,499500
2018-08-03,407500,1145.0,1190,9200,499500
2018-08-06,407500,1145.0,1190,9200,499500
2018-08-07,407500,1145.0,1190,9200,494500
2018-08-08,407500,1145.0,1190,8850,494500
2018-08-09,407500,1145.0,1190,8850,494500
2018-08-10,407500,1141.5,1190,8850,493500
2018-08-13,407500,1141.5,1190,8850,493500
2018-08-14,407500,1141.5,1190,8750,489500
2018-08-15,407500,1141.5,1200,8750,489500
2018-08-16,407500,1142.5,1200,8750,486000
2018-08-17,407500,1142.5,1210,8750,486000
2018-08-20,407500,1142.5,1210,8750,486000
2018-08-21,407500,1142.5,1210,8750,486000
2018-08-22,407500,1142.5,1210,8750,486000
2018-08-23,407500,1142.5,1210,8750,486000
2018-08-24,407500,1142.5,1210,8600,481000
2018-08-27,407500,1142.5,1210,8600,481000
2018-08-28,407500,1142.5,1210,8600,481000
2018-08-29,407500,1142.5,1245,8600,481000
2018-08-30,407500,1142.5,1245,8600,481000
2018-08-31,407500,1145.0,1275,8500,481000
2018-09-03,407500,1145.0,1275,8500,481000
2018-09-04,407500,1145.0,1275,8500,481000
2018-09-05,407500,1145.0,1295,8500,481000
2018-09-06,407500,1145.0,1295,8500,481000
2018-09-07,407500,1145.0,1315,8500,481000
2018-09-10,407500,1145.0,1315,8500,484000
2018-09-11,407500,1145.0,1335,8500,484000
2018-09-12,407500,1145.0,1335,8500,484000
2018-09-13,407500,1145.0,1335,8500,484000
2018-09-14,407500,1145.0,1335,8500,484000
2018-09-17,407500,1147.5,1335,8500,486000
2018-09-18,407500,1147.5,1335,8500,486000
2018-09-19,407500,1152.5,1335,8500,486000
2018-09-20,407500,1152.5,1335,8500,486000
2018-09-21,407500,1152.5,1335,8500,486000
2018-09-25,407500,1152.5,1335,8500,486000
2018-09-26,407500,1152.5,1335,8500,486000
2018-09-27,407500,1149.0,1335,8500,486000
2018-09-28,407500,1149.0,1335,8500,486000
2018-10-08,407500,1149.0,1335,8500,486000
2018-10-09,407500,1149.0,1335,8500,486000
2018-10-10,407500,1149.0,1335,8500,486000
2018-10-11,407500,1149.0,1335,8500,484000
2018-10-12,407500,1149.0,1335,8500,480000
2018-10-15,407500,1149.0,1335,8500,480000
2018-10-16,407500,1149.0,1335,8500,475000
2018-10-17,407500,1149.0,1335,8500,475000
2018-10-18,407500,1149.0,1335,8250,470000
2018-10-19,407500,1149.0,1315,8250,470000
2018-10-22,407500,1147.5,1315,8250,470000
2018-10-23,407500,1147.5,1315,8250,465000
2018-10-24,407500,1147.5,1315,8250,465000
2018-10-25,407500,1147.5,1295,8250,465000
2018-10-26,407500,1147.5,1295,8050,460000
2018-10-29,407500,1147.5,1295,8050,450000
2018-10-30,397500,1147.5,1270,8050,450000
2018-10-31,397500,1147.5,1270,8050,445000
2018-11-01,397500,1147.5,1270,7850,440000
2018-11-02,397500,1147.5,1250,7850,440000
2018-11-05,,,1250,7850,440000
2018-11-06,397500,1147.5,1250,7850,440000
2018-11-07,397500,1145.0,1225,7850,440000
2018-11-08,397500,1145.0,1225,7850,440000
2018-11-09,397500,1145.0,1225,7850,440000
2018-11-12,397500,1145.0,1225,7850,432500
2018-11-13,397500,1147.5,1225,7850,432500
2018-11-14,397500,1147.5,1225,7850,432500
2018-11-15,397500,1147.5,1205,7850,427500
2018-11-16,397500,1152.5,1205,7850,427500
2018-11-19,397500,1152.5,1175,7850,424500
2018-11-20,397500,1155.0,1175,7850,424500
2018-11-21,397500,1167.5,1175,7850,417500
2018-11-22,397500,1167.5,1175,7850,407500
2018-11-23,397500,1167.5,1175,7850,407500
2018-11-26,397500,1190.0,1125,7850,400000
2018-11-27,397500,1190.0,1125,7850,400000
2018-11-28,397500,1230.0,1125,7850,392500
2018-11-29,397500,1230.0,1100,7850,382500
2018-11-30,402500,1230.0,1100,7850,382500
2018-12-03,402500,1240.0,1060,7850,382500
2018-12-04,402500,1240.0,1040,7850,382500
2018-12-05,402500,1240.0,1040,7850,377500
2018-12-06,402500,1240.0,1025,7850,377500
2018-12-07,402500,1240.0,1025,7850,372500
2018-12-10,402500,1240.0,1025,7850,372500
2018-12-11,402500,1240.0,1005,7850,372500
2018-12-12,402500,1240.0,1005,7850,372500
2018-12-13,402500,1240.0,1005,7850,367500
2018-12-14,402500,1230.0,1005,7850,367500
2018-12-17,402500,1220.0,1005,7850,367500
2018-12-18,402500,1220.0,1005,7850,367500
2018-12-19,402500,1220.0,1005,7850,367500
2018-12-20,402500,1215.0,1005,7850,357500
2018-12-21,402500,1215.0,1025,7850,357500
2018-12-24,402500,1215.0,1025,7850,352500
2018-12-25,402500,1215.0,1025,7850,352500
2018-12-26,400500,1210.0,1025,7850,352500
2018-12-27,400500,1210.0,1025,7850,352500
2018-12-28,400500,1210.0,1025,7850,352500
2019-01-02,400500,1210.0,1025,7850,349000
2019-01-03,400500,1210.0,1025,7850,349000
2019-01-04,400500,1210.0,1025,7850,349000
2019-01-07,400500,1210.0,1025,7850,349000
2019-01-08,399500,1210.0,1025,7850,349000
2019-01-09,399500,1210.0,1025,7850,349000
2019-01-10,399500,1210.0,1025,7850,349000
2019-01-11,399500,1210.0,1025,7850,349000
2019-01-14,399500,1210.0,1025,7850,349000
2019-01-15,399500,1210.0,1025,7850,346000
2019-01-16,399500,1210.0,1025,7850,346000
2019-01-17,399500,1210.0,1025,7850,339000
2019-01-18,398000,1210.0,1025,7850,339000
2019-01-21,398000,1210.0,1025,7850,339000
2019-01-22,398000,1210.0,1025,7850,339000
2019-01-23,398000,1210.0,1025,7850,336000
2019-01-24,398000,1210.0,1025,7850,330000
2019-01-25,398000,1210.0,1025,7850,330000
2019-01-28,398000,1210.0,1025,7850,330000
2019-01-29,398000,1210.0,1025,7850,330000
2019-01-30,398000,1210.0,1025,7850,330000
2019-01-31,398000,1210.0,1025,7850,327500
2019-02-01,398000,1210.0,1025,7850,327500
2019-02-11,398000,1210.0,1025,7850,327500
2019-02-12,398000,1210.0,1025,7850,327500
2019-02-13,398000,1210.0,1025,7850,327500
2019-02-14,398000,1210.0,1025,7850,322500
2019-02-15,398000,1230.0,1025,7850,322500
2019-02-18,398000,1230.0,1025,7850,317500
2019-02-19,398000,1230.0,1025,7850,317500
2019-02-20,398000,1250.0,1025,7850,317500
2019-02-21,398000,1250.0,1025,7850,307500
2019-02-22,398000,1250.0,1025,7850,307500
2019-02-25,398000,1250.0,1025,7850,300000
2019-02-26,390000,1260.0,1015,7850,300000
2019-02-27,390000,1260.0,1015,7850,300000
2019-02-28,390000,1270.0,1015,7850,300000
2019-03-01,390000,1270.0,1015,7850,296000
2019-03-04,390000,1270.0,1015,7850,296000
2019-03-05,390000,1270.0,1015,7850,292500
2019-03-06,389000,1270.0,1015,7850,292500
2019-03-07,389000,1270.0,1015,7750,290000
2019-03-08,389000,1270.0,1015,7750,290000
2019-03-11,385000,1310.0,1015,7750,290000
2019-03-12,380000,1330.0,1015,7750,288500
2019-03-13,380000,1330.0,1015,7750,288500
2019-03-14,380000,1335.0,1015,7750,283500
2019-03-15,375000,1355.0,1015,7750,283500
2019-03-18,375000,1380.0,1015,7750,283500
2019-03-19,375000,1380.0,1015,7750,275000
2019-03-20,375000,1395.0,1015,7750,275000
2019-03-21,375000,1415.0,1015,7750,270000
2019-03-22,375000,1415.0,1015,7750,267000
2019-03-25,375000,1445.0,1015,7750,265000
2019-03-26,375000,1460.0,1015,7750,265000
2019-03-27,375000,1470.0,1015,7750,265000
2019-03-28,375000,1470.0,1015,7550,265000
2019-03-29,375000,1470.0,1015,7550,271000
2019-04-01,372500,1470.0,1015,7550,271000
2019-04-02,372500,1470.0,1015,7550,271000
2019-04-03,372500,1470.0,1015,7550,273500
2019-04-04,372500,1470.0,1015,7550,273500
2019-04-08,372500,1470.0,1015,7550,273500
2019-04-09,367500,1470.0,1015,7550,273500
2019-04-10,367500,1475.0,1015,7550,273500
2019-04-11,367500,1475.0,1015,7550,273500
2019-04-12,352500,1475.0,1015,7550,273500
2019-04-15,352500,1475.0,1015,7550,273500
2019-04-16,342500,1485.0,1015,7550,273500
2019-04-17,342500,1485.0,1005,7550,273500
2019-04-18,337500,1485.0,1005,7550,273500
2019-04-19,337500,1485.0,1005,7550,273500
2019-04-22,337500,1485.0,995,7550,273500
2019-04-23,337500,1485.0,995,7550,273500
2019-04-24,337500,1485.0,995,7550,273500
2019-04-25,337500,1485.0,995,7550,273500
2019-04-26,337500,1485.0,985,7550,273500
2019-04-29,337500,1485.0,985,7550,273500
2019-04-30,337500,1485.0,985,7550,270500
2019-05-06,337500,1485.0,975,7550,267500
2019-05-07,337500,1485.0,975,7550,267500
2019-05-08,337500,1485.0,975,7550,267500
2019-05-09,337500,1500.0,975,7550,267500
2019-05-10,337500,1525.0,975,7550,267500
2019-05-13,337500,1555.0,975,7550,262500
2019-05-14,337500,1570.0,975,7550,262500
2019-05-15,337500,1590.0,975,7550,260000
2019-05-16,337500,1610.0,975,7550,260000
2019-05-17,337500,1635.0,975,7550,260000
2019-05-20,337500,1710.0,975,7450,258000
2019-05-21,342500,1775.0,975,7450,258000
2019-05-22,387500,1925.0,975,7450,258000
2019-05-23,440000,1955.0,975,7450,256000
2019-05-24,450000,1975.0,975,7450,256000
2019-05-27,450000,1975.0,975,7450,256000
2019-05-28,440000,1975.0,975,7450,252000
2019-05-29,440000,1975.0,975,7450,252000
2019-05-30,440000,1975.0,975,7450,248500
2019-05-31,440000,1975.0,975,7450,248500
2019-06-03,440000,1975.0,975,7450,248500
2019-06-04,455000,1975.0,975,7450,247500
2019-06-05,455000,1975.0,975,7450,247500
2019-06-06,455000,2000.0,975,7450,247500
2019-06-10,457500,2000.0,975,7450,247500
2019-06-11,457500,2000.0,975,7450,247500
2019-06-12,457500,2000.0,975,7450,247500
2019-06-13,470000,2000.0,975,7450,247500
2019-06-14,472000,2000.0,975,7450,247500
2019-06-17,474000,2000.0,975,7450,247500
2019-06-18,474000,2000.0,975,7500,247500
2019-06-19,484000,2000.0,975,7500,247500
2019-06-20,470000,2000.0,975,7500,242500
2019-06-21,470000,2000.0,975,7500,240500
2019-06-24,470000,2000.0,975,7500,240500
2019-06-25,457500,2000.0,975,7500,239500
2019-06-26,457500,1965.0,975,7500,238500
2019-06-27,445000,1965.0,975,7500,238500
2019-06-28,445000,1945.0,975,7500,237500
2019-07-01,445000,1945.0,975,7500,234500
2019-07-02,445000,1945.0,1000,7500,231500
2019-07-03,445000,1945.0,1000,7500,231500
2019-07-04,445000,1945.0,1000,7500,228500
2019-07-05,435000,1945.0,1000,7500,226500
2019-07-08,435000,1945.0,1000,7500,225000
2019-07-09,425000,1945.0,1000,7500,225000
2019-07-10,415000,1920.0,1000,7500,222000
2019-07-11,415000,1920.0,1000,7500,221000
2019-07-12,415000,1920.0,1000,7500,221000
2019-07-15,415000,1910.0,1000,7500,221000
2019-07-16,415000,1910.0,1000,7500,221000
2019-07-17,415000,1910.0,1000,7500,221000
2019-07-18,412500,1910.0,1000,7500,219000
2019-07-19,402500,1910.0,1000,7500,219000
2019-07-22,402500,1910.0,1000,7500,219000
2019-07-23,397500,1870.0,1000,7500,219000
2019-07-24,385000,1835.0,1000,7500,219000
2019-07-25,382500,1815.0,1000,7500,219000
2019-07-26,382500,1840.0,1000,7500,219000
2019-07-29,382500,1840.0,1000,7500,219000
2019-07-30,382500,1840.0,1000,7500,219000
2019-07-31,382500,1860.0,1000,7500,222000
2019-08-01,382500,1860.0,1000,7500,224000
2019-08-02,382500,1905.0,1000,7500,224000
2019-08-05,382500,1915.0,1000,7500,225000
2019-08-06,386000,1940.0,1000,7500,225000
2019-08-07,387500,1950.0,1000,7500,230000
2019-08-08,387500,1950.0,1000,7500,230000
2019-08-09,387500,1950.0,1000,7500,230000
2019-08-12,387500,1950.0,1000,7500,237000
2019-08-13,387500,1950.0,1000,7500,237000
2019-08-14,387500,1940.0,1000,7500,242000
2019-08-15,381500,1940.0,1000,7500,242000
2019-08-16,386500,1940.0,1000,7500,247000
2019-08-19,386500,1940.0,1000,7500,247000
2019-08-20,391500,1930.0,1000,7500,252000
2019-08-21,395500,1930.0,1000,7500,252000
2019-08-22,395500,1920.0,1000,7500,252000
2019-08-23,395500,1915.0,1000,7500,252000
2019-08-26,395500,1915.0,1000,7500,252000
2019-08-27,395500,1915.0,1000,7500,252000
2019-08-28,395500,1910.0,1000,7500,252000
2019-08-29,395500,1910.0,1000,7500,257000
2019-08-30,398000,1910.0,1000,7500,257000
2019-09-02,401500,1910.0,1000,7500,257000
2019-09-03,401500,1910.0,1000,7500,262000
2019-09-04,406500,1910.0,1000,7500,262000
2019-09-05,411500,1925.0,1000,7450,267000
2019-09-06,413500,1930.0,1000,7450,267000
2019-09-09,413500,1930.0,1000,7450,273000
2019-09-10,413500,1930.0,1000,7450,273000
2019-09-11,413500,1930.0,1000,7450,273000
2019-09-12,415500,1930.0,1000,7450,278000
2019-09-16,415500,1930.0,1000,7450,278000
2019-09-17,415500,1920.0,1000,7450,278000
2019-09-18,412500,1900.0,1000,7450,278000
2019-09-19,412500,1890.0,1000,7450,285000
2019-09-20,412500,1890.0,1000,7450,285000
2019-09-23,412500,1890.0,1000,7450,285000
2019-09-24,412500,1870.0,1000,7450,285000
2019-09-25,412500,1865.0,1000,7450,285000
2019-09-26,412500,1865.0,1000,7450,285000
2019-09-27,407500,1865.0,1000,7450,290000
2019-09-30,407500,1865.0,1000,7450,290000
2019-10-08,407500,1865.0,1000,7450,290000
2019-10-09,405500,1835.0,1000,7400,290000
2019-10-10,405500,1815.0,1000,7400,290000
2019-10-11,405500,1815.0,1000,7400,290000
2019-10-14,397500,1765.0,1000,7400,290000
2019-10-15,397500,1765.0,1000,7400,290000
2019-10-16,395000,1745.0,1000,7400,290000
2019-10-17,392500,1715.0,1000,7400,290000
2019-10-18,387500,1705.0,1000,7400,290000
2019-10-21,387500,1715.0,1000,7400,290000
2019-10-22,387500,1665.0,1000,7400,290000
2019-10-23,382500,1645.0,1000,7400,290000
2019-10-24,377500,1615.0,1000,7400,290000
2019-10-25,374500,1615.0,1000,7400,290000
2019-10-28,370500,1595.0,1000,7400,290000
2019-10-29,367500,1565.0,1000,7400,290000
2019-10-30,370500,1565.0,1000,7400,287500
2019-10-31,370500,1535.0,1000,7400,287500
2019-11-01,367500,1535.0,1000,7400,287500
2019-11-04,365500,1515.0,1000,7400,287500
2019-11-05,365500,1515.0,1000,7400,287500
2019-11-06,363500,1515.0,990,7400,282500
2019-11-07,363500,1515.0,990,7400,277500
2019-11-08,363500,1525.0,990,7300,277500
2019-11-11,363500,1530.0,990,7300,275000
2019-11-12,360500,1540.0,990,7300,275000
2019-11-13,360500,1540.0,990,7300,267000
2019-11-14,360500,1550.0,990,7300,263000
2019-11-15,360500,1560.0,990,7300,263000
2019-11-18,358500,1560.0,990,7300,261500
2019-11-19,358500,1570.0,990,7300,261500
2019-11-20,357500,1565.0,990,7300,261500
2019-11-21,358500,1580.0,990,7300,261500
2019-11-22,360500,1590.0,990,7300,261500
2019-11-25,363000,1610.0,990,7150,261500
2019-11-26,363000,1620.0,990,7150,261500
2019-11-27,363000,1620.0,990,7150,261500
2019-11-28,360000,1630.0,990,7150,260000
2019-11-29,360000,1630.0,990,7150,260000
2019-12-02,360000,1640.0,990,7150,260000
2019-12-03,362000,1660.0,990,7100,260000
2019-12-04,362500,1670.0,990,7100,260000
2019-12-05,363500,1680.0,990,7100,260000
2019-12-06,364500,1690.0,990,7100,260000
2019-12-09,364500,1690.0,990,7100,260000
2019-12-10,364500,1710.0,990,7000,260000
2019-12-11,364500,1720.0,990,7000,260000
2019-12-12,366500,1720.0,980,6950,260000
2019-12-13,366500,1720.0,980,6950,258000
2019-12-16,364500,1730.0,980,6950,258000
2019-12-17,364500,1740.0,980,6900,258000
2019-12-18,364500,1740.0,980,6900,258000
2019-12-19,364500,1750.0,980,6900,258000
2019-12-20,360500,1750.0,980,6900,258000
2019-12-23,359000,1750.0,980,6900,258000
2019-12-24,359000,1750.0,980,6750,258000
2019-12-25,359000,1750.0,980,6750,258000
2019-12-26,359000,1750.0,980,6750,258000
2019-12-27,359000,1750.0,980,6750,258000
2019-12-30,362000,1750.0,980,6750,263000
2019-12-31,362000,1750.0,980,6750,263000
2020-01-02,367000,1750.0,980,6750,266000
2020-01-03,367000,1735.0,980,6750,266000
2020-01-06,367000,1715.0,980,6750,266000
2020-01-07,367000,1715.0,980,6750,271000
2020-01-08,367000,1705.0,980,6750,274000
2020-01-09,367000,1705.0,980,6750,276000
2020-01-10,367000,1700.0,980,6750,276000
2020-01-13,367000,1700.0,980,6750,276000
2020-01-14,367000,1700.0,980,6750,276000
2020-01-15,367000,1700.0,980,6750,276000
